Make,Year,Condition,Mileage,Price,Seller Rating,Interior color,Drivetrain,Min MPG,Max MPG,Fuel type,Engine Size (L),Accidents or damage,1-owner vehicle
Mazda,2021,Used,26370.0,22995.0,4.8,Black ,AWD,24.0,31.0,Gasoline ,2.5,0.0,True
Lincoln,2016,Used,103052.0,12995.0,4.7,Cappuccino ,FWD,22.0,33.0,Gasoline ,2.0,0.0,False
RAM,2014,Used,84997.0,18491.0,4.381503720140973,Diesel Gray/Black ,4WD,15.0,21.0,Gasoline ,5.7,0.0,False
Hyundai,2018,Used,21450.0,17558.0,4.8,Black ,FWD,55.0,54.0,Hybrid ,1.6,1.0,True
Jeep,2016,Used,110320.0,18495.0,4.1,Black ,4WD,17.0,21.0,Gasoline ,3.6,0.0,False
Ford,2023,New,3.0,57490.0,4.4,Medium Dark Slate ,AWD,20.59922502075837,28.0,Unknown,2.0,0.0,others
Mercedes-Benz,2023,New,38.0,55086.0,4.5,Black ,RWD,20.59922502075837,28.0,Gasoline ,2.0,0.0,others
Tesla,2021,Used,33769.0,29990.0,4.3,Black ,RWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,True
Nissan,2020,Used,17588.0,15726.0,4.2,Graphite ,FWD,32.0,40.0,Gasoline ,1.6,0.0,True
Lexus,2014,Used,103247.0,25995.0,4.1,Tan ,RWD,16.0,24.0,Gasoline ,4.6,1.0,False
Nissan,2021,Used,61181.0,15777.0,4.0,Graphite ,FWD,32.0,40.0,Gasoline ,1.6,0.0,True
Toyota,2021,Certified,19568.0,21490.0,3.9,Black ,FWD,31.0,40.0,Gasoline ,2.0,0.0,False
Subaru,2015,Used,100966.0,12999.0,4.381503720140973,Black ,AWD,23.0,0.0,Gasoline ,2.0,0.0,False
Jeep,2020,Used,35709.0,38972.0,4.7,Black ,4WD,18.0,22.0,Gasoline ,3.6,0.0,False
Ford,2021,Used,12600.0,29999.0,4.7,Ebony ,AWD,21.0,28.0,Gasoline ,2.0,0.0,True
Toyota,2023,Used,19663.0,25477.0,4.8,Black ,FWD,31.0,33.0,Gasoline ,2.0,0.0,True
Honda,2017,Used,54457.0,18995.0,4.9,Black ,FWD,31.0,40.0,Gasoline ,2.0,1.0,True
Volkswagen,2022,Used,15110.0,26998.0,4.381503720140973,Black ,AWD,25.0,32.0,Gasoline ,1.5,0.0,True
Chevrolet,2021,Certified,46853.0,25950.0,4.5,Jet Black ,FWD,18.0,27.0,Gasoline ,3.6,1.0,True
Chevrolet,2021,Certified,15428.0,18903.0,4.6,Jet Black ,AWD,23.0,30.0,Gasoline ,1.4,0.0,True
Mitsubishi,2018,Used,62872.0,15495.0,4.5,Black ,4WD,25.0,28.0,Gasoline ,1.5,0.0,True
Honda,2020,Used,38992.0,22998.0,4.381503720140973,Black ,FWD,29.0,36.0,Gasoline ,2.0,0.0,others
Lexus,2021,Used,37325.0,32995.0,4.9,Black ,AWD,25.0,34.0,Gasoline ,2.5,0.0,True
Nissan,2022,Used,17857.0,25998.0,4.381503720140973,Black ,AWD,20.0,28.0,Gasoline ,3.5,1.0,True
Hyundai,2017,Used,77600.0,13800.0,4.381503720140973,Gray ,FWD,20.59922502075837,28.0,Gasoline ,2.0,1.0,False
Lincoln,2023,New,2107.0,90023.0,4.381503720140973,Sandstone ,4WD,16.0,22.0,Gasoline ,3.5,0.0,others
Mercedes-Benz,2019,Used,68120.0,37954.0,4.1,Black ,AWD,21.0,28.0,Gasoline ,3.0,0.0,False
Land,2017,Used,59224.0,21950.0,4.9,Ebony/Ebony ,4WD,21.0,29.0,Gasoline ,2.0,1.0,False
Subaru,2017,Used,71433.0,21269.0,4.9,Ivory ,AWD,20.0,27.0,Gasoline ,3.6,0.0,True
Porsche,2019,Used,11474.0,76355.0,4.3,Black ,AWD,20.59922502075837,28.0,Hybrid ,2.9,0.0,False
Ford,2020,Used,80172.0,29895.0,4.381503720140973,Black ,AWD,24.0,24.0,Gasoline ,3.0,0.0,False
BMW,2023,Used,5770.0,67995.0,4.5,Black ,AWD,22.0,31.0,Gasoline ,3.0,0.0,True
Kia,2023,New,808.0,35405.0,4.5,Charcoal ,FWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,others
Ford,2018,Used,96555.0,13249.0,4.1,Black ,4WD,22.0,28.0,Gasoline ,1.5,1.0,False
Chevrolet,2020,Used,42928.0,17991.0,4.5,Jet Black ,FWD,26.0,31.0,Gasoline ,1.5,1.0,True
Chrysler,2022,Used,69976.0,22450.0,3.7,Black/Alloy/Black ,FWD,19.0,28.0,Gasoline ,2.96465882923282,0.0,True
Dodge,2023,New,13.0,35406.0,4.2,Black ,RWD,19.0,30.0,Gasoline ,3.6,0.0,others
Ford,2022,Used,5622.0,54975.0,4.3,Black Onyx ,4WD,16.0,17.0,Gasoline ,2.7,0.0,True
Audi,2021,Used,54400.0,26440.0,4.1,Black ,AWD,23.0,28.0,Gasoline ,2.0,0.0,True
RAM,2019,Used,38323.0,27972.0,4.8,Diesel Gray / Black ,4WD,16.0,23.0,Gasoline ,5.7,0.0,True
Chevrolet,2022,Used,79334.0,42000.0,4.7,Black ,4WD,20.59922502075837,28.0,Gasoline ,5.3,0.0,True
Ford,2014,Used,66857.0,13444.0,4.3,Charcoal Black ,4WD,21.0,0.0,Gasoline ,2.0,1.0,False
Toyota,2020,Used,54009.0,25393.0,4.5,Black ,AWD,27.0,33.0,Gasoline ,2.5,0.0,True
Tesla,2021,Used,63225.0,27775.0,4.6,Black ,AWD,20.59922502075837,28.0,Unknown,2.96465882923282,1.0,True
Ford,2022,Certified,37905.0,24800.0,4.4,– ,AWD,23.0,31.0,Gasoline ,2.0,0.0,True
Volkswagen,2021,Certified,43748.0,26790.0,5.0,Titan Black ,AWD,20.0,24.0,Gasoline ,2.0,0.0,True
Ford,2022,Used,36401.0,24995.0,4.381503720140973,BLACK ,AWD,20.0,28.0,Gasoline ,2.0,0.0,True
BMW,2020,Used,40529.0,52995.0,4.381503720140973,COFFEE ,AWD,20.0,25.0,Gasoline ,3.0,1.0,False
Chevrolet,2018,Used,47990.0,21999.0,4.4,Jet Black ,RWD,22.0,31.0,Gasoline ,3.6,1.0,False
Volkswagen,2019,Used,70412.0,17800.0,3.9,Cornsilk Beige / Brown ,FWD,25.0,36.0,Gasoline ,2.0,1.0,False
Mercedes-Benz,2015,Used,94523.0,15000.0,4.8,Black ,AWD,24.0,32.0,Gasoline ,2.0,0.0,False
Nissan,2014,Used,127361.0,5495.0,4.381503720140973,Gray ,FWD,30.0,39.0,Gasoline ,1.8,0.0,False
Hyundai,2022,Used,22847.0,18998.0,4.381503720140973,Black ,FWD,33.0,41.0,Gasoline ,1.6,0.0,True
Honda,2014,Used,105891.0,17988.0,4.7,Gray ,FWD,19.0,28.0,Gasoline ,3.5,1.0,True
Nissan,2022,Certified,23926.0,33900.0,4.7,Gray ,4WD,21.0,27.0,Gasoline ,3.5,0.0,True
Land,2020,Used,46125.0,33998.0,4.381503720140973,Ebony / Ebony ,4WD,16.0,21.0,Gasoline ,3.0,0.0,True
Ford,2019,Used,85741.0,17901.0,4.9,Charcoal Black ,4WD,21.0,27.0,Gasoline ,2.0,0.0,True
Ford,2023,New,80.0,52245.0,4.7,Dark Palazzo Gray ,RWD,20.59922502075837,28.0,E85 Flex Fuel ,3.5,0.0,others
Tesla,2021,Used,84844.0,27995.0,4.381503720140973,WHITE ,AWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,True
Honda,2021,Used,36102.0,34994.0,4.6,Gray ,AWD,19.0,26.0,Gasoline ,3.5,1.0,True
Ford,2022,Certified,12769.0,20989.0,4.4,Medium Stone ,4WD,23.0,29.0,Gasoline ,2.0,0.0,True
Nissan,2023,Used,3250.0,27395.0,4.381503720140973,Black ,AWD,28.0,35.0,Gasoline ,1.5,0.0,True
Tesla,2020,Used,27597.0,27550.0,4.3,Black ,AWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,True
Mercedes-Benz,2018,Used,76680.0,35880.0,4.7,Black ,AWD,14.0,19.0,Gasoline ,4.7,0.0,True
Cadillac,2021,Used,39900.0,32866.0,4.4,Sedona Sauvage ,AWD,21.0,27.0,Gasoline ,3.6,0.0,True
BMW,2015,Used,71380.0,18980.0,4.7,Venetian Beige ,AWD,20.0,29.0,Gasoline ,3.0,0.0,False
Honda,2021,Used,23163.0,29995.0,4.381503720140973,Gray ,FWD,19.0,28.0,Gasoline ,3.5,1.0,True
Genesis,2020,Used,38024.0,25700.0,4.8,Black ,AWD,20.0,27.0,Gasoline ,2.0,0.0,False
Land,2015,Used,77450.0,26550.0,4.6,Tan ,4WD,17.0,22.0,Gasoline ,3.0,0.0,False
Chevrolet,2022,Used,47794.0,60000.0,4.1,Jet Black ,4WD,20.59922502075837,28.0,Gasoline ,5.3,0.0,False
Alfa,2022,Used,16236.0,33891.0,4.6,Black ,AWD,22.0,28.0,Gasoline ,2.0,0.0,True
Jeep,2023,New,0.0,70899.0,4.9,Tan ,4WD,20.59922502075837,28.0,Hybrid ,2.0,0.0,others
Buick,2021,Certified,45078.0,29397.0,5.0,Dark Galvanized ,AWD,17.0,25.0,Gasoline ,3.6,0.0,True
Dodge,2020,Used,26527.0,31998.0,4.9,Black ,RWD,16.0,25.0,Gasoline ,5.7,0.0,True
Jeep,2022,Used,20558.0,35000.0,4.2,Global Black ,4WD,20.59922502075837,28.0,Gasoline ,3.6,0.0,True
Nissan,2022,Used,23820.0,34670.0,4.7,Steel ,4WD,17.0,22.0,Gasoline ,3.8,0.0,True
Tesla,2023,Used,18706.0,27739.0,3.7,– ,RWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,True
Cadillac,2020,Used,30837.0,30988.0,4.5,Wheat ,AWD,22.0,29.0,Gasoline ,2.0,0.0,True
Chevrolet,2023,Used,14885.0,23972.0,4.8,Jet Black ,FWD,26.0,31.0,Gasoline ,1.5,0.0,True
Porsche,2016,Used,103111.0,21500.0,3.9,Black ,AWD,17.0,23.0,Gasoline ,3.0,0.0,False
Honda,2017,Used,142422.0,16899.0,4.381503720140973,Beige ,FWD,19.0,27.0,Gasoline ,3.5,1.0,True
Audi,2017,Used,91293.0,12500.0,4.381503720140973,Black ,FWD,20.0,28.0,Gasoline ,2.0,1.0,False
Chevrolet,2019,Used,71453.0,16169.0,4.0,– ,FWD,26.0,32.0,Gasoline ,1.5,0.0,False
Dodge,2023,New,7.0,89744.0,4.2,Black ,RWD,13.0,22.0,Gasoline ,6.2,0.0,others
Chevrolet,2015,Used,127887.0,19427.0,4.5,Jet Black ,4WD,17.0,22.0,Gasoline ,4.3,1.0,False
Nissan,2023,New,2.0,44770.0,4.7,Light Gray ,AWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,others
Ford,2023,New,2.0,51730.0,4.8,Gray ,4WD,20.0,21.0,Gasoline ,2.7,0.0,others
Jeep,2021,Used,65227.0,26785.0,4.4,Black ,4WD,17.0,23.0,Gasoline ,2.0,1.0,True
Nissan,2019,Certified,42868.0,27799.0,4.8,Charcoal ,FWD,20.0,30.0,Gasoline ,3.5,0.0,True
Lexus,2019,Used,32624.0,27025.0,4.2,F SPORT Black ,FWD,29.0,37.0,Gasoline ,2.0,0.0,False
Jeep,2015,Used,86467.0,11000.0,4.8,Dark Slate Gray ,FWD,22.0,27.0,Gasoline ,2.0,1.0,False
Chevrolet,2022,Certified,48825.0,21788.0,4.9,Jet Black ,AWD,25.0,30.0,Gasoline ,1.5,0.0,True
Land,2018,Used,68204.0,32982.0,4.3,Ebony/Ebony/Ebony/Ebony ,4WD,17.0,0.0,Gasoline ,3.0,0.0,False
Lincoln,2020,Used,41383.0,48910.0,3.9,Luggage Tan ,AWD,20.59922502075837,28.0,Hybrid ,3.0,0.0,True
BMW,2022,Certified,21393.0,87888.0,4.1,Black ,AWD,13.0,18.0,Gasoline ,4.4,0.0,False
BMW,2019,Used,72014.0,20589.0,4.5,Black/Dark Oyster ,AWD,23.0,33.0,Gasoline ,2.0,0.0,False
Ford,2021,Used,50158.0,19000.0,3.7,– ,FWD,28.0,34.0,Gasoline ,2.96465882923282,1.0,True
Chevrolet,2022,Used,22692.0,57995.0,4.2,Jet Black ,4WD,15.0,20.0,Diesel ,3.0,0.0,False
Chevrolet,2021,Certified,39772.0,18426.0,4.7,Jet Black ,AWD,23.0,30.0,Gasoline ,1.4,1.0,True
Tesla,2023,Used,9569.0,72997.0,4.8,Black ,AWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,False
Jeep,2023,Certified,12216.0,73881.0,4.5,Black ,4WD,13.0,17.0,Gasoline ,6.4,0.0,True
Chevrolet,2019,Used,85406.0,18995.0,4.381503720140973,Tan ,FWD,26.0,32.0,Gasoline ,1.5,0.0,True
Hyundai,2016,Used,52752.0,16995.0,4.9,Grey ,AWD,16.0,25.0,Gasoline ,3.8,1.0,False
Jeep,2021,Used,34634.0,23229.0,4.7,Black ,4WD,19.0,27.0,Gasoline ,3.2,0.0,True
Kia,2023,Certified,15665.0,26495.0,4.5,Black ,FWD,25.0,32.0,Gasoline ,2.5,1.0,True
Chrysler,2023,New,12.0,38997.0,4.5,Black Interior Color ,AWD,18.0,27.0,Gasoline ,3.6,0.0,others
Toyota,2022,Used,3112.0,53990.0,4.5,– ,RWD,22.0,30.0,Gasoline ,3.0,0.0,True
Cadillac,2023,Used,20752.0,47950.0,4.5,Black ,AWD,18.0,25.0,Gasoline ,3.6,0.0,True
Kia,2021,Used,32222.0,17495.0,4.6,Black ,FWD,23.0,30.0,Gasoline ,2.4,0.0,True
Mercedes-Benz,2023,New,5.0,53486.0,4.8,– ,RWD,18.0,22.0,Gasoline ,2.0,0.0,others
Tesla,2016,Used,57170.0,36155.0,4.3,Black ,AWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,False
Ford,2023,New,0.0,76990.0,4.6,Space Gray ,AWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,others
Ferrari,2017,Certified,8486.0,259999.0,4.381503720140973,Cuoio ,RWD,15.0,22.0,Gasoline ,3.9,0.0,False
Ford,2018,Used,115213.0,13701.0,4.9,Medium Light Stone ,4WD,22.0,28.0,Gasoline ,1.5,0.0,True
Jeep,2020,Used,36337.0,20495.0,4.1,Black ,4WD,22.0,30.0,Gasoline ,2.4,0.0,True
GMC,2023,Certified,26819.0,28486.0,4.9,Jet Black ,FWD,24.0,29.0,Gasoline ,1.5,0.0,True
Jeep,2023,New,5.0,42995.0,4.5,Black ,4WD,22.0,28.0,Diesel ,3.0,0.0,others
Dodge,2015,Used,81836.0,23995.0,4.7,Black ,4WD,14.0,22.0,Gasoline ,5.7,0.0,True
Kia,2020,Used,61984.0,15998.0,4.381503720140973,Black ,FWD,29.0,35.0,Gasoline ,2.0,0.0,True
GMC,2021,Used,84104.0,43000.0,4.8,Jet Black w/Kalahari Accents ,4WD,22.0,26.0,Diesel ,3.0,0.0,True
Mercedes-Benz,2018,Used,22681.0,82800.0,4.381503720140973,Black ,AWD,16.0,25.0,Gasoline ,4.0,0.0,False
Ford,2023,Used,224.0,64598.0,4.3,Black Onyx ,4WD,16.0,18.0,Gasoline ,2.7,0.0,True
Ford,2021,Used,24638.0,20995.0,4.6,Dark Earth Gray ,FWD,28.0,34.0,Gasoline ,1.5,0.0,True
Jeep,2018,Used,37093.0,36298.0,4.9,Black ,4WD,17.0,23.0,Gasoline ,2.0,0.0,False
Chevrolet,2021,Certified,43355.0,21177.0,4.1,Jet Black ,FWD,26.0,31.0,Gasoline ,1.5,0.0,True
Audi,2020,Used,21424.0,48888.0,4.3,Rotor Gray ,AWD,18.0,28.0,Gasoline ,2.9,0.0,True
Lexus,2023,Used,3483.0,41477.0,4.9,Black ,FWD,22.0,32.0,Gasoline ,3.5,0.0,True
Lexus,2022,Used,11633.0,56888.0,4.1,Black ,RWD,17.0,25.0,Gasoline ,5.0,0.0,False
Toyota,2021,Used,33516.0,38991.0,4.2,Gray ,AWD,35.0,36.0,Hybrid ,2.5,0.0,True
Jeep,2021,Used,36742.0,48991.0,4.381503720140973,Global Black ,4WD,18.0,25.0,Gasoline ,3.6,0.0,False
Kia,2018,Used,80667.0,11300.0,4.8,Black ,FWD,25.0,30.0,Gasoline ,2.96465882923282,0.0,False
Jeep,2020,Used,57697.0,28998.0,4.381503720140973,Black ,4WD,18.0,25.0,Gasoline ,3.6,1.0,True
Audi,2021,Certified,10863.0,41991.0,4.7,Black ,AWD,24.0,30.0,Gasoline ,2.0,0.0,True
Ford,2020,Used,18901.0,27990.0,4.3,Sandstone ,AWD,23.0,31.0,Gasoline ,2.0,0.0,True
Jeep,2021,Used,27204.0,22995.0,4.381503720140973,Ruby Red/Black ,4WD,22.0,30.0,Gasoline ,2.4,1.0,True
Volvo,2023,Used,40911.0,57998.0,4.7,Blond ,AWD,20.0,26.0,Gasoline ,2.0,0.0,True
Mercedes-Benz,2020,Used,27032.0,66995.0,4.1,Black ,AWD,20.0,26.0,Gasoline ,3.0,0.0,False
Honda,2016,Used,86204.0,16994.0,4.5,Black ,AWD,25.0,31.0,Gasoline ,2.4,0.0,False
Acura,2021,Used,17595.0,33585.0,4.9,Ebony ,AWD,21.0,27.0,Gasoline ,2.0,1.0,True
Ford,2019,Used,18106.0,19495.0,4.5,Charcoal Black ,4WD,22.0,28.0,Gasoline ,1.5,0.0,True
Chevrolet,2016,Used,120203.0,19900.0,4.381503720140973,Gray ,4WD,20.59922502075837,28.0,Gasoline ,3.6,1.0,False
Mercedes-Benz,2016,Used,52947.0,16995.0,4.6,Black ,AWD,24.0,32.0,E85 Flex Fuel ,2.0,0.0,False
Honda,2019,Used,110727.0,26995.0,4.1,Gray ,FWD,19.0,28.0,Gasoline ,3.5,0.0,False
Ford,2023,New,18.0,47000.0,4.7,Black Onyx ,4WD,16.0,18.0,Gasoline ,2.3,0.0,others
Nissan,2023,Used,6125.0,35998.0,4.381503720140973,Black ,AWD,28.0,34.0,Gasoline ,1.5,0.0,True
Nissan,2021,Used,61549.0,16510.0,4.4,Graphite ,FWD,32.0,40.0,Gasoline ,1.6,0.0,True
Nissan,2015,Used,78481.0,5995.0,4.381503720140973,Black ,FWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,False
Porsche,2021,Certified,28726.0,69791.0,4.7,Black ,AWD,17.0,22.0,Gasoline ,2.9,0.0,True
Ford,2017,Used,18777.0,15788.0,4.5,– ,FWD,26.0,36.0,E85 Flex Fuel ,2.0,1.0,True
Audi,2014,Used,67041.0,30995.0,4.1,Black ,AWD,24.0,36.0,Diesel ,3.0,0.0,False
Acura,2020,Used,16641.0,33887.0,4.381503720140973,Espresso ,AWD,21.0,27.0,Gasoline ,2.0,0.0,True
Acura,2021,Used,23894.0,33490.0,4.5,Ebony ,AWD,21.0,27.0,Gasoline ,2.0,0.0,True
Hyundai,2023,Used,21896.0,21900.0,4.3,Black ,FWD,30.0,35.0,Gasoline ,2.0,1.0,True
Nissan,2023,Used,8495.0,28479.0,4.8,Charcoal ,FWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,False
Subaru,2021,Certified,22627.0,24500.0,4.6,Black ,AWD,28.0,33.0,Gasoline ,2.0,0.0,True
Ford,2022,Used,9055.0,22740.0,4.8,Dark Earth Gray ,AWD,26.0,31.0,Gasoline ,1.5,0.0,True
Toyota,2021,Used,58516.0,38660.0,4.2,Black / Graphite ,4WD,16.0,19.0,Gasoline ,4.0,1.0,True
BMW,2022,Used,19682.0,49995.0,4.9,Tacora Red ,AWD,20.59922502075837,28.0,Gasoline ,2.0,0.0,True
Mercedes-Benz,2021,Used,47361.0,30989.0,4.5,Macchiato Beige ,AWD,23.0,30.0,Gasoline ,2.0,0.0,True
Audi,2018,Used,61205.0,26495.0,5.0,Nougat Brown / Black ,AWD,22.0,30.0,Gasoline ,2.0,1.0,True
Mazda,2020,Used,35758.0,25500.0,4.8,Black ,AWD,20.0,26.0,Gasoline ,2.5,0.0,True
Porsche,2023,Certified,3981.0,85000.0,4.9,Black ,RWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,True
Chevrolet,2021,Used,52963.0,15971.0,4.6,Jet Black ,AWD,23.0,30.0,Gasoline ,1.4,1.0,True
Chevrolet,2022,Certified,27349.0,27959.0,5.0,Jet Black ,AWD,25.0,30.0,Gasoline ,1.5,0.0,True
Hyundai,2022,Certified,39700.0,24777.0,4.381503720140973,Black ,FWD,20.59922502075837,28.0,Gasoline ,2.96465882923282,0.0,False
Jaguar,2020,Used,51366.0,28000.0,4.7,Ebony / Ebony ,AWD,22.0,27.0,Gasoline ,2.96465882923282,0.0,True
Mercedes-Benz,2015,Used,82759.0,14995.0,4.381503720140973,Black ,FWD,25.0,35.0,Gasoline ,2.0,1.0,False
Ford,2023,New,0.0,93865.0,4.6,Space Gray ,AWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,others
BMW,2021,Used,29967.0,33000.0,4.8,Black ,AWD,23.0,29.0,Gasoline ,2.0,0.0,True
Buick,2016,Used,55442.0,18950.0,4.6,Jet Black w/Jet Black Accents ,FWD,20.0,27.0,Gasoline ,1.6,1.0,False
Jeep,2018,Used,40627.0,29989.0,4.5,Black ,4WD,15.0,20.0,Gasoline ,3.6,1.0,False
Jeep,2022,New,108.0,57266.0,4.5,Global Black ,4WD,20.59922502075837,28.0,Hybrid ,2.0,0.0,others
Chevrolet,2022,Certified,12532.0,28700.0,4.9,Jet Black ,RWD,22.0,30.0,Gasoline ,2.0,1.0,False
Chevrolet,2018,Used,95038.0,22000.0,4.4,Cocoa / Dune ,4WD,17.0,22.0,Gasoline ,5.3,1.0,True
Ford,2015,Used,100659.0,13945.0,4.2,Ebony ,FWD,0.0,0.0,Gasoline ,2.0,0.0,True
Chrysler,2019,Used,26841.0,25998.0,4.381503720140973,Black ,AWD,18.0,27.0,Gasoline ,3.6,1.0,True
Ford,2021,Used,13079.0,42998.0,4.381503720140973,Black ,4WD,23.0,26.0,Gasoline ,3.0,0.0,True
Cadillac,2017,Used,70849.0,33000.0,4.4,Jet Black ,AWD,18.0,27.0,Gasoline ,3.6,1.0,False
Audi,2017,Used,86024.0,22480.0,3.8,– ,AWD,17.0,24.0,Gasoline ,2.96465882923282,0.0,True
Jeep,2023,New,11.0,38646.0,4.2,Global Black ,4WD,18.0,25.0,Gasoline ,3.6,0.0,others
Ford,2021,Used,75055.0,22995.0,4.381503720140973,Sandstone ,RWD,21.0,28.0,Gasoline ,2.3,1.0,True
Honda,2021,Used,43889.0,35999.0,4.8,Mocha ,FWD,19.0,28.0,Gasoline ,3.5,1.0,True
BMW,2019,Used,44051.0,28995.0,4.1,Black ,AWD,22.0,29.0,Gasoline ,2.0,1.0,True
Toyota,2023,New,5.0,54787.0,4.7,Black ,AWD,29.0,32.0,Hybrid ,2.4,0.0,others
Nissan,2019,Used,69573.0,17995.0,4.381503720140973,Charcoal ,AWD,26.0,36.0,Gasoline ,2.5,0.0,False
Scion,2014,Used,127916.0,8300.0,4.381503720140973,Dark Charcoal ,FWD,22.0,28.0,Gasoline ,2.4,1.0,False
Jeep,2020,Used,57378.0,25595.0,4.381503720140973,Black ,4WD,18.0,25.0,Gasoline ,3.6,0.0,False
Ford,2022,Used,16684.0,24331.0,4.8,Ebony ,AWD,23.0,31.0,Gasoline ,1.5,0.0,True
Chevrolet,2020,Used,21721.0,19998.0,4.381503720140973,Black ,FWD,26.0,31.0,Gasoline ,1.4,0.0,True
Mercedes-Benz,2023,Certified,2727.0,94999.0,4.7,Classic Red ,AWD,17.0,21.0,Gasoline ,3.0,0.0,True
Chevrolet,2020,Certified,66691.0,18695.0,5.0,Jet Black ,FWD,26.0,31.0,Gasoline ,1.5,1.0,True
BMW,2016,Used,110762.0,14495.0,4.381503720140973,Brown ,AWD,22.0,32.0,Gasoline ,2.0,1.0,False
Chevrolet,2015,Used,121800.0,24291.0,4.1,Cocoa/Dune ,4WD,15.0,22.0,Gasoline ,5.3,1.0,False
Chrysler,2022,Used,65353.0,28888.0,4.4,Black/Alloy/Black ,FWD,19.0,28.0,Gasoline ,3.6,0.0,True
RAM,2023,New,19.0,59374.0,4.5,Black ,4WD,0.0,0.0,Diesel ,6.7,0.0,others
Lincoln,2023,New,75.0,79373.0,4.381503720140973,Sandstone ,AWD,20.59922502075837,28.0,Hybrid ,3.0,0.0,others
Ford,2020,Used,43378.0,17350.0,4.381503720140973,Dark Earth Gray ,FWD,27.0,33.0,Gasoline ,1.5,1.0,True
Ford,2022,Used,46755.0,50901.0,4.9,Medium Earth Gray ,4WD,20.59922502075837,28.0,Diesel ,6.7,0.0,True
Tesla,2020,Used,56940.0,23881.0,4.5,– ,RWD,20.59922502075837,28.0,Unknown,2.96465882923282,0.0,False
Ford,2021,Used,6025.0,29595.0,4.2,Sandstone ,AWD,43.0,37.0,Hybrid ,2.5,0.0,True
Chevrolet,2021,Used,37453.0,19998.0,4.381503720140973,Black ,FWD,24.0,32.0,Gasoline ,1.4,0.0,True
Kia,2019,Used,3826.0,25985.0,4.381503720140973,Gray ,AWD,21.0,25.0,Gasoline ,2.4,0.0,False
Honda,2021,Used,23986.0,25499.0,4.7,– ,AWD,27.0,32.0,Gasoline ,2.96465882923282,0.0,True
Chevrolet,2020,Used,99484.0,21695.0,4.381503720140973,Black ,AWD,25.0,30.0,Gasoline ,1.5,0.0,True
Nissan,2023,Used,19358.0,34880.0,4.7,Charcoal ,AWD,28.0,34.0,Gasoline ,1.5,0.0,True
Mercedes-Benz,2018,Used,34512.0,38749.0,4.8,Black w/Red Stitching ,AWD,19.0,25.0,Gasoline ,2.96465882923282,0.0,False
Jeep,2021,Used,32193.0,35890.0,4.8,Black ,4WD,18.0,25.0,Gasoline ,3.6,0.0,True
Chevrolet,2021,Used,46984.0,32900.0,4.381503720140973,Gray ,RWD,20.59922502075837,28.0,Gasoline ,4.3,0.0,True
Tesla,2017,Used,44877.0,28995.0,4.6,Black ,AWD,20.59922502075837,28.0,Unknown,2.96465882923282,1.0,True
Jeep,2014,Used,102768.0,19395.0,4.381503720140973,Black ,4WD,17.0,24.0,E85 Flex Fuel ,3.6,0.0,others
GMC,2020,Used,69548.0,19239.0,4.8,Jet Black ,FWD,26.0,30.0,Gasoline ,1.5,1.0,False
Acura,2023,Certified,5340.0,46400.0,4.7,Red ,AWD,21.0,29.0,Gasoline ,2.0,0.0,True
Toyota,2019,Used,48954.0,20990.0,4.1,Black ,FWD,28.0,39.0,Gasoline ,2.5,1.0,False
Nissan,2023,Certified,1205.0,29000.0,4.5,Charcoal ,AWD,28.0,35.0,Gasoline ,1.5,0.0,True
Cadillac,2020,Used,39037.0,31873.0,4.4,Dark Auburn ,FWD,18.0,25.0,Gasoline ,3.6,1.0,True
Honda,2015,Used,78994.0,21195.0,4.381503720140973,Parchment ,FWD,27.0,36.0,Gasoline ,2.4,0.0,others
Acura,2017,Used,10897.0,149800.0,4.7,Red ,AWD,21.0,22.0,Gas/Electric Hyb ,3.5,0.0,False
Acura,2020,Used,36395.0,27999.0,4.6,Ebony ,AWD,21.0,27.0,Gasoline ,2.0,1.0,False
Hyundai,2019,Used,56728.0,19595.0,4.381503720140973,Beige ,FWD,40.0,46.0,Hybrid ,2.0,0.0,others
Nissan,2021,Used,23724.0,21595.0,4.5,Charcoal ,AWD,24.0,30.0,Gasoline ,2.0,0.0,True
Toyota,2018,Used,76265.0,16995.0,4.5,Black ,FWD,20.59922502075837,28.0,Gasoline ,1.8,0.0,False
Buick,2020,Certified,42030.0,32445.0,5.0,Dark Galvanized ,AWD,17.0,25.0,Gasoline ,3.6,0.0,True
BMW,2016,Used,51284.0,24544.0,4.0,– ,RWD,20.0,31.0,Gasoline ,3.0,0.0,False
BMW,2023,Used,6251.0,98495.0,4.5,Tartufo ,AWD,18.0,26.0,Gasoline ,4.4,0.0,True
